"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"ABCO","","Abies concolor","white fir","Gymnosperm","Abies","Pinaceae","Pine family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree","Spring and Summer","Conical","None","No"
"ABLA","","Abies lasiocarpa","subalpine fir","Gymnosperm","Abies","Pinaceae","Pine family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree","Spring and Summer","Conical","None","No"
"ACGL","","Acer glabrum","Rocky Mountain maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ACGR3","","Acer grandidentatum","bigtooth maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ACNE2","","Acer negundo","boxelder","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","Yes"
"ACMI2","","Achillea millefolium","common yarrow","Dicot","Achillea","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","Slight","No"
"ACMIO","","Achillea millefolium var. occidentalis","western yarrow","Dicot","Achillea","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","Slight","No"
"ACHY","","Achnatherum hymenoides","Indian ricegrass","Monocot","Achnatherum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"ACSP12","","Achnatherum speciosum","desert needlegrass","Monocot","Achnatherum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"ACCO4","","Aconitum columbianum","Columbian monkshood","Dicot","Aconitum","Ranunculaceae","Buttercup family","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","Moderate","No"
"ADCA","","Adiantum capillus-veneris","common maidenhair","Fern","Adiantum","Pteridaceae","Maidenhair Fern family","Polypodiales","","Filicopsida","","Pteridophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"AGUT","","Agave utahensis","Utah agave","Monocot","Agave","Agavaceae","Century-plant family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub, Forb/herb","Spring and Summer","Erect","None","No"
"AGGR2","","Agrimonia gryposepala","tall hairy agrimony","Dicot","Agrimonia","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"AGST","","Agrimonia striata","roadside agrimony","Dicot","Agrimonia","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"AGDE2","","Agropyron desertorum","desert wheatgrass","Monocot","Agropyron","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Fall","Erect","None","No"
"AGEX","","Agrostis exarata","spike bentgrass","Monocot","Agrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"AGGI2","","Agrostis gigantea","redtop","Monocot","Agrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Decumbent","None","No"
"AGID","","Agrostis idahoensis","Idaho bentgrass","Monocot","Agrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"AGST2","","Agrostis stolonifera","creeping bentgrass","Monocot","Agrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"AIAL","","Ailanthus altissima","tree of heaven","Dicot","Ailanthus","Simaroubaceae","Quassia family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Rounded","Moderate","No"
"ALJU","","Albizia julibrissin","silktree","Dicot","Albizia","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ALGR","","Alisma gramineum","narrowleaf water plantain","Monocot","Alisma","Alismataceae","Water-plantain family","Alismatales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ALSU","","Alisma subcordatum","American water plantain","Monocot","Alisma","Alismataceae","Water-plantain family","Alismatales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ALAC4","","Allium acuminatum","tapertip onion","Monocot","Allium","Liliaceae","Lily family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","Yes"
"ALIN2","","Alnus incana","gray alder","Dicot","Alnus","Betulaceae","Birch family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ALINT","","Alnus incana ssp. tenuifolia","thinleaf alder","Dicot","Alnus","Betulaceae","Birch family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ALAE","","Alopecurus aequalis","shortawn foxtail","Monocot","Alopecurus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Decumbent","None","No"
"ALAR","","Alopecurus arundinaceus","creeping meadow foxtail","Monocot","Alopecurus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"ALCA4","","Alopecurus carolinianus","Carolina foxtail","Monocot","Alopecurus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Spring","Erect","None","No"
"AMDU2","","Ambrosia dumosa","burrobush","Dicot","Ambrosia","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring and Summer","Semi-Erect","None","No"
"AMUT","","Amelanchier utahensis","Utah serviceberry","Dicot","Amelanchier","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","Yes"
"AMCO","","Ammannia coccinea","valley redstem","Dicot","Ammannia","Lythraceae","Loosestrife family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb, Subshrub","Spring","Erect","None","No"
"AMFR","","Amorpha fruticosa","false indigo bush","Dicot","Amorpha","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Climbing","Slight","No"
"ANMA","","Anaphalis margaritacea","western pearly everlasting","Dicot","Anaphalis","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ANGE","","Andropogon gerardii","big bluestem","Monocot","Andropogon","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"ANGL2","","Andropogon glomeratus","bushy bluestem","Monocot","Andropogon","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"ANHA","","Andropogon hallii","sand bluestem","Monocot","Andropogon","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"ANMU","","Anemone multifida","Pacific anemone","Dicot","Anemone","Ranunculaceae","Buttercup family","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
