"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Genus","Family","Family Common Name","Order","SubClass","Class","SubDivision","Division","Kingdom","Duration","Growth Habit","Active Growth Period","Shape and Orientation","Toxicity","Palatable Human"
"ABBA","","Abies balsamea","balsam fir","Gymnosperm","Abies","Pinaceae","Pine family","Pinales","","Pinopsida","","Coniferophyta","Plantae","Perennial","Tree","Spring and Summer","Conical","None","No"
"ACGI","","Acer ginnala","Amur maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Rounded","None","No"
"ACNE2","","Acer negundo","boxelder","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","Yes"
"ACNI5","","Acer nigrum","black maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","Yes"
"ACPE","","Acer pensylvanicum","striped maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ACPL","","Acer platanoides","Norway maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Rounded","None","No"
"ACRU","","Acer rubrum","red maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Rounded","Slight","Yes"
"ACSA2","","Acer saccharinum","silver maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Rounded","None","Yes"
"ACSA3","","Acer saccharum","sugar maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","Yes"
"ACSP2","","Acer spicatum","mountain maple","Dicot","Acer","Aceraceae","Maple family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ACMI2","","Achillea millefolium","common yarrow","Dicot","Achillea","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","Slight","No"
"ACMIO","","Achillea millefolium var. occidentalis","western yarrow","Dicot","Achillea","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","Slight","No"
"ACHY","","Achnatherum hymenoides","Indian ricegrass","Monocot","Achnatherum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"ACAM","","Acorus americanus","sweetflag","Monocot","Acorus","Acoraceae","Calamus family","Arales","Arecidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ACCA4","","Acorus calamus","calamus","Monocot","Acorus","Acoraceae","Calamus family","Arales","Arecidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Semi-Erect","None","No"
"ADPE","","Adiantum pedatum","northern maidenhair","Fern","Adiantum","Pteridaceae","Maidenhair Fern family","Polypodiales","","Filicopsida","","Pteridophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Semi-Erect","None","No"
"AEGL","","Aesculus glabra","Ohio buckeye","Dicot","Aesculus","Hippocastanaceae","Horse-chestnut family","Sapindales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","Severe","No"
"AGGR2","","Agrimonia gryposepala","tall hairy agrimony","Dicot","Agrimonia","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"AGRO3","","Agrimonia rostellata","beaked agrimony","Dicot","Agrimonia","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","No"
"AGST","","Agrimonia striata","roadside agrimony","Dicot","Agrimonia","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"AGGI2","","Agrostis gigantea","redtop","Monocot","Agrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Decumbent","None","No"
"AGHY","","Agrostis hyemalis","winter bentgrass","Monocot","Agrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"AGPE","","Agrostis perennans","upland bentgrass","Monocot","Agrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Decumbent","None","No"
"AGST2","","Agrostis stolonifera","creeping bentgrass","Monocot","Agrostis","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"ALGR","","Alisma gramineum","narrowleaf water plantain","Monocot","Alisma","Alismataceae","Water-plantain family","Alismatales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ALSU","","Alisma subcordatum","American water plantain","Monocot","Alisma","Alismataceae","Water-plantain family","Alismatales","Alismatidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ALTE","","Allium textile","textile onion","Monocot","Allium","Liliaceae","Lily family","Liliales","Liliidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","None","Yes"
"ALGL2","","Alnus glutinosa","European alder","Dicot","Alnus","Betulaceae","Birch family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree","Spring and Summer","Erect","None","No"
"ALIN2","","Alnus incana","gray alder","Dicot","Alnus","Betulaceae","Birch family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ALVIC","","Alnus viridis ssp. crispa","mountain alder","Dicot","Alnus","Betulaceae","Birch family","Fagales","Hamamelididae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"ALAE","","Alopecurus aequalis","shortawn foxtail","Monocot","Alopecurus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Decumbent","None","No"
"ALCA4","","Alopecurus carolinianus","Carolina foxtail","Monocot","Alopecurus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Annual","Graminoid","Spring","Erect","None","No"
"ALPR3","","Alopecurus pratensis","meadow foxtail","Monocot","Alopecurus","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring and Summer","Erect","None","No"
"AMAL2","","Amelanchier alnifolia","Saskatoon serviceberry","Dicot","Amelanchier","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","Yes"
"AMAR3","","Amelanchier arborea","common serviceberry","Dicot","Amelanchier","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","Yes"
"AMLA","","Amelanchier laevis","Allegheny serviceberry","Dicot","Amelanchier","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Tree, Shrub","Spring and Summer","Erect","None","No"
"AMCO","","Ammannia coccinea","valley redstem","Dicot","Ammannia","Lythraceae","Loosestrife family","Myrtales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Annual","Forb/herb, Subshrub","Spring","Erect","None","No"
"AMBR","","Ammophila breviligulata","American beachgrass","Monocot","Ammophila","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Erect","None","No"
"AMCA6","","Amorpha canescens","leadplant","Dicot","Amorpha","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring and Summer","Semi-Erect","None","No"
"AMFR","","Amorpha fruticosa","false indigo bush","Dicot","Amorpha","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Shrub","Spring and Summer","Climbing","Slight","No"
"ANMA","","Anaphalis margaritacea","western pearly everlasting","Dicot","Anaphalis","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ANGE","","Andropogon gerardii","big bluestem","Monocot","Andropogon","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"ANHA","","Andropogon hallii","sand bluestem","Monocot","Andropogon","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Summer","Erect","None","No"
"ANMU","","Anemone multifida","Pacific anemone","Dicot","Anemone","Ranunculaceae","Buttercup family","Ranunculales","Magnoliidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"APAM","","Apios americana","groundnut","Dicot","Apios","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Vine, Forb/herb","Spring and Summer","Climbing","None","Yes"
"APCA","","Apocynum cannabinum","Indianhemp","Dicot","Apocynum","Apocynaceae","Dogbane family","Gentianales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","Severe","No"
"ARDR","","Arabis drummondii","Drummond's rockcress","Dicot","Arabis","Brassicaceae","Mustard family","Capparales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Biennial, Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ARHO2","","Arabis holboellii","Holboell's rockcress","Dicot","Arabis","Brassicaceae","Mustard family","Capparales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Biennial, Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ARNU2","","Aralia nudicaulis","wild sarsaparilla","Dicot","Aralia","Araliaceae","Ginseng family","Apiales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"ARUV","","Arctostaphylos uva-ursi","kinnikinnick","Dicot","Arctostaphylos","Ericaceae","Heath family","Ericales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring and Summer","Prostrate","None","No"
"ARAN7","","Argentina anserina","silverweed cinquefoil","Dicot","Argentina","Rosaceae","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Decumbent","None","No"
"ARTR","","Arisaema triphyllum","Jack in the pulpit","Monocot","Arisaema","Araceae","Arum family","Arales","Arecidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","Slight","No"
"AREL3","","Arrhenatherum elatius","tall oatgrass","Monocot","Arrhenatherum","Poaceae","Grass family","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Plantae","Perennial","Graminoid","Spring","Erect","None","No"
"ARCA13","","Artemisia cana","silver sagebrush","Dicot","Artemisia","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Shrub","Spring, Summer, Fall","Erect","None","No"
"ARFR4","","Artemisia frigida","prairie sagewort","Dicot","Artemisia","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub","Spring and Fall","Rounded","None","No"
"ARLU","","Artemisia ludoviciana","white sagebrush","Dicot","Artemisia","Asteraceae","Aster family","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Erect","None","No"
"ASIN","","Asclepias incarnata","swamp milkweed","Dicot","Asclepias","Asclepiadaceae","Milkweed family","Gentianales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring","Erect","Moderate","No"
"ASSP","","Asclepias speciosa","showy milkweed","Dicot","Asclepias","Asclepiadaceae","Milkweed family","Gentianales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","Slight","No"
"ASTU","","Asclepias tuberosa","butterfly milkweed","Dicot","Asclepias","Asclepiadaceae","Milkweed family","Gentianales","Asteridae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Erect","None","No"
"ASAG2","","Astragalus agrestis","purple milkvetch","Dicot","Astragalus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring and Summer","Decumbent","Slight","No"
"ASCA11","","Astragalus canadensis","Canadian milkvetch","Dicot","Astragalus","Fabaceae","Pea family","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Plantae","Perennial","Forb/herb","Spring, Summer, Fall","Prostrate","Slight","No"
